breed
American Staffordshire Terrier-Boxer Mix
American Staffordshire Terrier-Bull Terrier Mix
American Staffordshire Terrier-Bulldog Mix
American Staffordshire Terrier-Bullmastiff Mix
American Staffordshire Terrier-Catahoula Leopard Dog Mix
American Staffordshire Terrier-Chinese Shar-Pei Mix
American Staffordshire Terrier-Chow Chow Mix
American Staffordshire Terrier-Dalmatian Mix
American Staffordshire Terrier-Doberman Pinscher Mix
American Staffordshire Terrier-Dogo Argentino Mix
American Staffordshire Terrier-Dogue de Bordeaux Mix
American Staffordshire Terrier-German Shepherd Dog Mix
American Staffordshire Terrier-German Wirehaired Pointer Mix
American Staffordshire Terrier-Golden Retriever Mix
American Staffordshire Terrier-Gordon Setter Mix
American Staffordshire Terrier-Great Dane Mix
American Staffordshire Terrier-Great Pyrenees Mix
American Staffordshire Terrier-Greyhound Mix
American Staffordshire Terrier-Labrador Retriever Mix
American Staffordshire Terrier-Lancashire Heeler Mix
American Staffordshire Terrier-Mastiff Mix
American Staffordshire Terrier-Miniature Bull Terrier Mix
American Staffordshire Terrier-Neapolitan Mastiff Mix
American Staffordshire Terrier-Portuguese Podengo Mix
American Staffordshire Terrier-Redbone Coonhound Mix
American Staffordshire Terrier-Rhodesian Ridgeback Mix
American Staffordshire Terrier-Staffordshire Bull Terrier Mix
American Staffordshire Terrier-Treeing Walker Coonhound Mix
American Staffordshire Terrier-Weimaraner Mix
American Staffordshire Terrier-Whippet Mix
American Water Spaniel
American Water Spaniel-Dachshund Mix
Anatolian Shepherd Dog
Anatolian Shepherd Dog-Border Collie Mix
Anatolian Shepherd Dog-Great Pyrenees Mix
Anatolian Shepherd Dog-Labrador Retriever Mix
Anatolian Shepherd Dog-Mastiff Mix
Appenzeller Sennenhunde
Appenzeller Sennenhunde- Mix
Appenzeller Sennenhunde-Border Collie Mix
Appenzeller Sennenhunde-Collie Mix
Australian Cattle Dog
Australian Cattle Dog- Mix
Australian Cattle Dog-American Pit Bull Terrier Mix
Australian Cattle Dog-American Staffordshire Terrier Mix
Australian Cattle Dog-Anatolian Shepherd Dog Mix
Australian Cattle Dog-Australian Kelpie Mix
Australian Cattle Dog-Australian Shepherd Mix
Australian Cattle Dog-Basenji Mix
Australian Cattle Dog-Beagle Mix
Australian Cattle Dog-Bearded Collie Mix
Australian Cattle Dog-Belgian Sheepdog Mix
Australian Cattle Dog-Bernese Mountain Dog Mix
Australian Cattle Dog-Bluetick Coonhound Mix
Australian Cattle Dog-Border Collie Mix
Australian Cattle Dog-Boxer Mix
Australian Cattle Dog-Bull Terrier Mix
Australian Cattle Dog-Cardigan Welsh Corgi Mix
Australian Cattle Dog-Catahoula Leopard Dog Mix
Australian Cattle Dog-Chow Chow Mix
Australian Cattle Dog-Cocker Spaniel Mix
Australian Cattle Dog-Curly-Coated Retriever Mix
Australian Cattle Dog-Doberman Pinscher Mix
Australian Cattle Dog-German Longhaired Pointer Mix
Australian Cattle Dog-German Shepherd Dog Mix
Australian Cattle Dog-Greyhound Mix
Australian Cattle Dog-Labrador Retriever Mix
Australian Cattle Dog-Rat Terrier Mix
Australian Cattle Dog-Redbone Coonhound Mix
Australian Cattle Dog-Rottweiler Mix
Australian Cattle Dog-Shetland Sheepdog Mix
Australian Cattle Dog-Siberian Husky Mix
Australian Cattle Dog-Staffordshire Bull Terrier Mix
Australian Cattle Dog-Treeing Walker Coonhound Mix
Australian Cattle Dog-Weimaraner Mix
Australian Kelpie
Australian Kelpie-Australian Cattle Dog Mix
Australian Kelpie-Basenji Mix
Australian Kelpie-Border Collie Mix
Australian Kelpie-Labrador Retriever Mix
Australian Kelpie-Miniature Schnauzer Mix
Australian Kelpie-Rottweiler Mix
Australian Kelpie-Staffordshire Bull Terrier Mix
Australian Labradoodle
Australian Labradoodle-Poodle Mix
Australian Shepherd
Australian Shepherd- Mix
Australian Shepherd-Alaskan Malamute Mix
Australian Shepherd-American Pit Bull Terrier Mix
Australian Shepherd-Australian Cattle Dog Mix
Australian Shepherd-Basenji Mix
Australian Shepherd-Beagle Mix
Australian Shepherd-Bearded Collie Mix
Australian Shepherd-Bloodhound Mix
Australian Shepherd-Border Collie Mix
Australian Shepherd-Cardigan Welsh Corgi Mix
Australian Shepherd-Catahoula Leopard Dog Mix
Australian Shepherd-Chow Chow Mix
Australian Shepherd-Cocker Spaniel Mix
Australian Shepherd-Collie Mix
Australian Shepherd-Doberman Pinscher Mix
Australian Shepherd-English Cocker Spaniel Mix
Australian Shepherd-Flat-Coated Retriever Mix
Australian Shepherd-German Shepherd Dog Mix
Australian Shepherd-Golden Retriever Mix
Australian Shepherd-Great Pyrenees Mix
Australian Shepherd-Labrador Retriever Mix
Australian Shepherd-Pembroke Welsh Corgi Mix
Australian Shepherd-Poodle Mix
Australian Shepherd-Pug Mix
Australian Shepherd-Rhodesian Ridgeback Mix
Australian Shepherd-Rottweiler Mix
Australian Shepherd-Schipperke Mix
Australian Shepherd-Shetland Sheepdog Mix
Australian Shepherd-Shiba Inu Mix
Australian Shepherd-Shih Tzu Mix
Australian Shepherd-Siberian Husky Mix
Australian Shepherd-St. Bernard Mix
Australian Shepherd-Standard Poodle Mix
Australian Shepherd-Weimaraner Mix
Australian Terrier
Australian Terrier-Lowchen Mix
Australian Terrier-Parson Russell Terrier Mix
Australian Terrier-Rottweiler Mix
Australian Terrier-Yorkshire Terrier Mix
Barbet
Basenji
Basenji- Mix
Basenji-American Staffordshire Terrier Mix
Basenji-American Water Spaniel Mix
Basenji-Australian Cattle Dog Mix
Basenji-Beagle Mix
Basenji-Cardigan Welsh Corgi Mix
Basenji-English Springer Spaniel Mix
Basenji-German Shepherd Dog Mix
Basenji-German Shorthaired Pointer Mix
Basenji-Manchester Terrier Mix
Basenji-Russell Terrier Mix
Basenji-Shiba Inu Mix
Basenji-Siberian Husky Mix
Basenji-Whippet Mix
Basset Hound
Basset Hound- Mix
Basset Hound-Airedale Terrier Mix
Basset Hound-American English Coonhound Mix
Basset Hound-American Pit Bull Terrier Mix
Basset Hound-American Staffordshire Terrier Mix
Basset Hound-Australian Cattle Dog Mix
Basset Hound-Australian Shepherd Mix
Basset Hound-Beagle Mix
Basset Hound-Boston Terrier Mix
Basset Hound-Cardigan Welsh Corgi Mix
Basset Hound-Cocker Spaniel Mix
Basset Hound-Dachshund Mix
Basset Hound-German Shepherd Dog Mix
Basset Hound-Great Pyrenees Mix
Basset Hound-Labrador Retriever Mix
Basset Hound-Pembroke Welsh Corgi Mix
Basset Hound-Pointer Mix
Basset Hound-Poodle Mix
Basset Hound-Rottweiler Mix
Basset Hound-Russell Terrier Mix
Basset Hound-Staffordshire Bull Terrier Mix
Beagle
Beagle- Mix
Beagle-American English Coonhound Mix
Beagle-American Eskimo Dog Mix
Beagle-American Foxhound Mix
Beagle-Australian Cattle Dog Mix
Beagle-Basset Hound Mix
Beagle-Bluetick Coonhound Mix
Beagle-Border Collie Mix
Beagle-Border Terrier Mix
Beagle-Boston Terrier Mix
Beagle-Boxer Mix
Beagle-Bulldog Mix
Beagle-Cavalier King Charles Spaniel Mix
Beagle-Chihuahua Mix
Beagle-Chinese Shar-Pei Mix
Beagle-Chow Chow Mix
Beagle-Cocker Spaniel Mix
Beagle-Collie Mix
Beagle-Dachshund Mix
Beagle-German Shepherd Dog Mix
Beagle-Golden Retriever Mix
Beagle-Greyhound Mix
Beagle-Jack Russell Terrier Mix
Beagle-Labrador Retriever Mix
Beagle-Miniature Schnauzer Mix
Beagle-Parson Russell Terrier Mix
Beagle-Pekingese Mix
Beagle-Pointer Mix
Beagle-Poodle Mix
Beagle-Pug Mix
Beagle-Rat Terrier Mix
Beagle-Russell Terrier Mix
Beagle-Schipperke Mix
Beagle-Shetland Sheepdog Mix
Beagle-Siberian Husky Mix
Beagle-Smooth Fox Terrier Mix
Beagle-Toy Fox Terrier Mix
Beagle-Treeing Walker Coonhound Mix
Beagle-Whippet Mix
Beaglier
Bearded Collie
Bearded Collie-Beagle Mix
Bearded Collie-Bernese Mountain Dog Mix
Bearded Collie-Border Collie Mix
Bearded Collie-Labrador Retriever Mix
Bearded Collie-Shih Tzu Mix
Bearded Collie-Soft Coated Wheaten Terrier Mix
Bearded Collie-Tibetan Terrier Mix
Beauceron
Beauceron-Rottweiler Mix
Bedlington Terrier
Bedlington Terrier-Belgian Laekenois Mix
Bedlington Terrier-Whippet Mix
Belgian Laekenois
Belgian Malinois
Belgian Malinois- Mix
Belgian Malinois-American Staffordshire Terrier Mix
Belgian Malinois-Belgian Tervuren Mix
Belgian Malinois-Border Collie Mix
Belgian Malinois-Chinese Shar-Pei Mix
Belgian Malinois-Chow Chow Mix
Belgian Malinois-Dutch Shepherd Mix
Belgian Malinois-German Shepherd Dog Mix
Belgian Malinois-Labrador Retriever Mix
Belgian Malinois-Siberian Husky Mix
Belgian Sheepdog
Belgian Sheepdog- Mix
Belgian Sheepdog-Border Collie Mix
Belgian Sheepdog-Chow Chow Mix
Belgian Sheepdog-Dutch Shepherd Mix
Belgian Sheepdog-German Shepherd Dog Mix
Belgian Sheepdog-Golden Retriever Mix
Belgian Sheepdog-Lhasa Apso Mix
Belgian Tervuren
Belgian Tervuren-Basenji Mix
Belgian Tervuren-Border Collie Mix
Belgian Tervuren-Boston Terrier Mix
Belgian Tervuren-Whippet Mix
Bergamasco-Old English Sheepdog Mix
Berger Picard
Bernese Mountain Dog
Bernese Mountain Dog-Border Collie Mix
Bernese Mountain Dog-Chow Chow Mix
Bernese Mountain Dog-English Springer Spaniel Mix
Bernese Mountain Dog-Golden Retriever Mix
Bernese Mountain Dog-Great Pyrenees Mix
Bernese Mountain Dog-Greater Swiss Mountain Dog Mix
Bernese Mountain Dog-Labrador Retriever Mix
Bernese Mountain Dog-Poodle Mix
Bernese Mountain Dog-Rottweiler Mix
Bernese Mountain Dog-Standard Poodle Mix
Bichon Frise
Bichon Frise- Mix
Bichon Frise-American Eskimo Dog Mix
Bichon Frise-Cavalier King Charles Spaniel Mix
Bichon Frise-Chinese Crested Mix
Bichon Frise-Cocker Spaniel Mix
Bichon Frise-Golden Retriever Mix
Bichon Frise-Havanese Mix
Bichon Frise-Jack Russell Terrier Mix
Bichon Frise-Lhasa Apso Mix
Bichon Frise-Maltese Mix
Bichon Frise-Miniature Schnauzer Mix
Bichon Frise-Pomeranian Mix
Bichon Frise-Poodle Mix
Bichon Frise-Shih Tzu Mix
Bichon Frise-West Highland White Terrier Mix
Bichon Frise-Yorkshire Terrier Mix
Black and Tan Coonhound
Black and Tan Coonhound- Mix
Black and Tan Coonhound-Beagle Mix
Black and Tan Coonhound-German Shepherd Dog Mix
Black and Tan Coonhound-Golden Retriever Mix
Black and Tan Coonhound-Labrador Retriever Mix
Black and Tan Coonhound-Plott Mix
Black Russian Terrier
Bloodhound
Bloodhound-Beagle Mix
Bloodhound-Black and Tan Coonhound Mix
Bloodhound-Bull Terrier Mix
Bloodhound-Irish Setter Mix
Bloodhound-Labrador Retriever Mix
Bluetick Coonhound
Bluetick Coonhound-Beagle Mix
Bluetick Coonhound-German Shorthaired Pointer Mix
Bluetick Coonhound-Jack Russell Terrier Mix
Bluetick Coonhound-Pointer Mix
Bluetick Coonhound-Rottweiler Mix
Bluetick Coonhound-Treeing Walker Coonhound Mix
Boerboel
Bolognese
Border Collie
Border Collie- Mix
Border Collie-Affenpinscher Mix
Border Collie-Akita Mix
Border Collie-American Eskimo Dog Mix
Border Collie-American Foxhound Mix
Border Collie-American Pit Bull Terrier Mix
Border Collie-American Staffordshire Terrier Mix
Border Collie-Australian Cattle Dog Mix
Border Collie-Australian Kelpie Mix
Border Collie-Australian Shepherd Mix
Border Collie-Beagle Mix
Border Collie-Bearded Collie Mix
Border Collie-Beauceron Mix
Border Collie-Belgian Sheepdog Mix
Border Collie-Belgian Tervuren Mix
Border Collie-Bernese Mountain Dog Mix
Border Collie-Bloodhound Mix
Border Collie-Bluetick Coonhound Mix
Border Collie-Borzoi Mix
Border Collie-Boxer Mix
Border Collie-Brittany Mix
Border Collie-Bull Terrier Mix
Border Collie-Cavalier King Charles Spaniel Mix
Border Collie-Chow Chow Mix
Border Collie-Cocker Spaniel Mix
Border Collie-Collie Mix
Border Collie-Dalmatian Mix
Border Collie-English Cocker Spaniel Mix
Border Collie-English Setter Mix
Border Collie-English Springer Spaniel Mix
Border Collie-Field Spaniel Mix
Border Collie-Flat-Coated Retriever Mix
Border Collie-German Shepherd Dog Mix
Border Collie-German Shorthaired Pointer Mix
Border Collie-Golden Retriever Mix
Border Collie-Great Dane Mix
Border Collie-Great Pyrenees Mix
Border Collie-Greyhound Mix
Border Collie-Icelandic Sheepdog Mix
Border Collie-Irish Setter Mix
Border Collie-Irish Water Spaniel Mix
Border Collie-Jack Russell Terrier Mix
Border Collie-Keeshond Mix
Border Collie-Kooikerhondje Mix
Border Collie-Labrador Retriever Mix
Border Collie-Lancashire Heeler Mix
Border Collie-Miniature Australian Shepherd Mix
Border Collie-Miniature Pinscher Mix
Border Collie-Newfoundland Mix
Border Collie-Parson Russell Terrier Mix
Border Collie-Pembroke Welsh Corgi Mix
Border Collie-Pointer Mix
Border Collie-Pomeranian Mix
Border Collie-Poodle Mix
Border Collie-Rhodesian Ridgeback Mix
Border Collie-Rottweiler Mix
Border Collie-Saluki Mix
Border Collie-Shetland Sheepdog Mix
Border Collie-Siberian Husky Mix
Border Collie-Soft Coated Wheaten Terrier Mix
Border Collie-Staffordshire Bull Terrier Mix
Border Collie-Standard Poodle Mix
Border Collie-Standard Schnauzer Mix
Border Collie-Welsh Springer Spaniel Mix
Border Collie-West Highland White Terrier Mix
Border Collie-Whippet Mix
Border Collie-Wire Fox Terrier Mix
Border Terrier
Border Terrier- Mix
Border Terrier-Beagle Mix
Border Terrier-Bernese Mountain Dog Mix
Border Terrier-Cairn Terrier Mix
Border Terrier-Dachshund Mix
Border Terrier-English Cocker Spaniel Mix
Border Terrier-Golden Retriever Mix
Border Terrier-Lakeland Terrier Mix
Border Terrier-Parson Russell Terrier Mix
Border Terrier-Poodle Mix
Border Terrier-Pug Mix
Border Terrier-Russell Terrier Mix
Border Terrier-Shih Tzu Mix
Border Terrier-Staffordshire Bull Terrier Mix
Border Terrier-Standard Schnauzer Mix
Border Terrier-West Highland White Terrier Mix
Borzoi
Borzoi-Whippet Mix
Boston Terrier
Boston Terrier-American Pit Bull Terrier Mix
Boston Terrier-American Staffordshire Terrier Mix
Boston Terrier-Beagle Mix
Boston Terrier-Bulldog Mix
Boston Terrier-Chihuahua Mix
Boston Terrier-Dachshund Mix
Boston Terrier-Danish-Swedish Farmdog Mix
Boston Terrier-Doberman Pinscher Mix
Boston Terrier-French Bulldog Mix
Boston Terrier-Labrador Retriever Mix
Boston Terrier-Pomeranian Mix
Boston Terrier-Pug Mix
Boston Terrier-Rat Terrier Mix
Boston Terrier-Russell Terrier Mix
Bouvier des Flandres
Bouvier des Flandres-Airedale Terrier Mix
Bouvier des Flandres-Standard Poodle Mix
Boxer
Boxer- Mix
Boxer-Akita Mix
Boxer-American Foxhound Mix
Boxer-American Pit Bull Terrier Mix
Boxer-American Staffordshire Terrier Mix
Boxer-Australian Cattle Dog Mix
Boxer-Australian Shepherd Mix
Boxer-Bloodhound Mix
Boxer-Border Collie Mix
Boxer-Boston Terrier Mix
Boxer-Bull Terrier Mix
Boxer-Bulldog Mix
Boxer-Bullmastiff Mix
Boxer-Cocker Spaniel Mix
Boxer-Dachshund Mix
Boxer-Dalmatian Mix
Boxer-Doberman Pinscher Mix
Boxer-Dutch Shepherd Mix
Boxer-English Foxhound Mix
Boxer-English Springer Spaniel Mix
Boxer-German Shepherd Dog Mix
Boxer-Golden Retriever Mix
Boxer-Great Dane Mix
Boxer-Great Pyrenees Mix
Boxer-Greyhound Mix
Boxer-Ibizan Hound Mix
Boxer-Jindo Mix
Boxer-Labrador Retriever Mix
Boxer-Manchester Terrier Mix
Boxer-Mastiff Mix
Boxer-Poodle Mix
Boxer-Pug Mix
Boxer-Redbone Coonhound Mix
Boxer-Rhodesian Ridgeback Mix
Boxer-Rottweiler Mix
Boxer-Russell Terrier Mix
Boxer-Siberian Husky Mix
Boxer-St. Bernard Mix
Boxer-Staffordshire Bull Terrier Mix
Boxer-Treeing Walker Coonhound Mix
Boxer-Vizsla Mix
Boxer-Weimaraner Mix
Boykin Spaniel
Boykin Spaniel- Mix
Boykin Spaniel-Deutscher Wachtelhund Mix
Boykin Spaniel-English Cocker Spaniel Mix
Boykin Spaniel-Irish Setter Mix
Braque du Bourbonnais
Briard
Brittany
Brittany-Basset Hound Mix
Brittany-Border Collie Mix
Brittany-English Springer Spaniel Mix
Brittany-German Shepherd Dog Mix
Brittany-German Shorthaired Pointer Mix
Brittany-Golden Retriever Mix
Brittany-Irish Setter Mix
Brittany-Labrador Retriever Mix
Brittany-Pekingese Mix
Brittany-Pointer Mix
Brittany-Poodle Mix
Brittany-Siberian Husky Mix
Brussels Griffon
Brussels Griffon-Border Terrier Mix
Brussels Griffon-Poodle Mix
Brussels Griffon-Pug Mix
Brussels Griffon-Shih Tzu Mix
Bugg
Bull Terrier
Bull Terrier-American Foxhound Mix
Bull Terrier-American Staffordshire Terrier Mix
Bull Terrier-Boxer Mix
Bull Terrier-Labrador Retriever Mix
Bull Terrier-Staffordshire Bull Terrier Mix
Bull Terrier-Whippet Mix
BullBoxer
Bulldog
Bulldog-American Pit Bull Terrier Mix
Bulldog-American Staffordshire Terrier Mix
Bulldog-Basset Hound Mix
Bulldog-Beagle Mix
Bulldog-Boston Terrier Mix
Bulldog-Boxer Mix
Bulldog-Bullmastiff Mix
Bulldog-Chesapeake Bay Retriever Mix
Bulldog-Cocker Spaniel Mix
Bulldog-Dogo Argentino Mix
Bulldog-French Bulldog Mix
Bulldog-German Shepherd Dog Mix
Bulldog-German Shorthaired Pointer Mix
Bulldog-Great Dane Mix
Bulldog-Labrador Retriever Mix
Bulldog-Mastiff Mix
Bulldog-Neapolitan Mastiff Mix
Bulldog-Pug Mix
Bulldog-Rhodesian Ridgeback Mix
Bulldog-Rottweiler Mix
Bulldog-Wirehaired Pointing Griffon Mix
Bullmastiff
Bullmastiff- Mix
Bullmastiff-American Pit Bull Terrier Mix
Bullmastiff-American Staffordshire Terrier Mix
Bullmastiff-Border Collie Mix
Bullmastiff-Boxer Mix
Bullmastiff-Bull Terrier Mix
Bullmastiff-Bulldog Mix
Bullmastiff-Chinese Shar-Pei Mix
Bullmastiff-Dogue de Bordeaux Mix
Bullmastiff-German Shepherd Dog Mix
Bullmastiff-Labrador Retriever Mix
Bullmastiff-Redbone Coonhound Mix
Bullmastiff-Staffordshire Bull Terrier Mix
Cairn Terrier
Cairn Terrier-Airedale Terrier Mix
Cairn Terrier-Australian Terrier Mix
Cairn Terrier-Cocker Spaniel Mix
Cairn Terrier-German Shepherd Dog Mix
Cairn Terrier-Jack Russell Terrier Mix
Cairn Terrier-Lhasa Apso Mix
Cairn Terrier-Pomeranian Mix
Cairn Terrier-Poodle Mix
Cairn Terrier-Russell Terrier Mix
Cairn Terrier-Shih Tzu Mix
Cairn Terrier-Smooth Fox Terrier Mix
Cairn Terrier-West Highland White Terrier Mix
Cairn Terrier-Yorkshire Terrier Mix
Canaan Dog
Canaan Dog- Mix
Cane Corso
Cardigan Welsh Corgi
Cardigan Welsh Corgi-American Eskimo Dog Mix
Cardigan Welsh Corgi-American Pit Bull Terrier Mix
Cardigan Welsh Corgi-American Staffordshire Terrier Mix
Cardigan Welsh Corgi-Australian Cattle Dog Mix
Cardigan Welsh Corgi-Australian Shepherd Mix
Cardigan Welsh Corgi-Beagle Mix
Cardigan Welsh Corgi-Cairn Terrier Mix
Cardigan Welsh Corgi-Catahoula Leopard Dog Mix
Cardigan Welsh Corgi-German Shepherd Dog Mix
Cardigan Welsh Corgi-Labrador Retriever Mix
Cardigan Welsh Corgi-Lancashire Heeler Mix
Cardigan Welsh Corgi-Pomeranian Mix
Cardigan Welsh Corgi-Russell Terrier Mix
Cardigan Welsh Corgi-Yorkshire Terrier Mix
Catahoula Leopard Dog
Catahoula Leopard Dog- Mix
Catahoula Leopard Dog-American Leopard Hound Mix
Catahoula Leopard Dog-American Pit Bull Terrier Mix
Catahoula Leopard Dog-Australian Cattle Dog Mix
Catahoula Leopard Dog-Australian Shepherd Mix
Catahoula Leopard Dog-Bluetick Coonhound Mix
Catahoula Leopard Dog-Border Collie Mix
Catahoula Leopard Dog-Boxer Mix
Catahoula Leopard Dog-German Shepherd Dog Mix
Catahoula Leopard Dog-Labrador Retriever Mix
Catahoula Leopard Dog-Plott Mix
Catahoula Leopard Dog-Pointer Mix
Catahoula Leopard Dog-Rottweiler Mix
Catahoula Leopard Dog-Shetland Sheepdog Mix
Catahoula Leopard Dog-Siberian Husky Mix
Caucasian Ovcharka
Cavalier King Charles Spaniel
Cavalier King Charles Spaniel-Australian Shepherd Mix
Cavalier King Charles Spaniel-Beagle Mix
Cavalier King Charles Spaniel-Bichon Frise Mix
Cavalier King Charles Spaniel-Cocker Spaniel Mix
Cavalier King Charles Spaniel-Coton de Tulear Mix
Cavalier King Charles Spaniel-English Springer Spaniel Mix
Cavalier King Charles Spaniel-Maltese Mix
Cavalier King Charles Spaniel-Papillon Mix
Cavalier King Charles Spaniel-Pekingese Mix
Cavalier King Charles Spaniel-Pomeranian Mix
Cavalier King Charles Spaniel-Poodle Mix
Cavalier King Charles Spaniel-Shih Tzu Mix
Cavalier King Charles Spaniel-Standard Poodle Mix
Central Asian Shepherd Dog
Central Asian Shepherd Dog-Golden Retriever Mix
Cesky Terrier
Chesapeake Bay Retriever
Chesapeake Bay Retriever-American Staffordshire Terrier Mix
Chesapeake Bay Retriever-Beagle Mix
Chesapeake Bay Retriever-German Shepherd Dog Mix
Chesapeake Bay Retriever-Labrador Retriever Mix
Chesapeake Bay Retriever-Shih Tzu Mix
Chesapeake Bay Retriever-Siberian Husky Mix
Chihuahua
